,行政区,price,最低首付,参考月供,环线信息,小区名称,房源编号,房屋户型,配备电梯,areas,供暖方式,所在楼层,装修情况,房屋朝向,上次交易,房本年限,售房原因,房屋类型,挂牌均价,建筑年代,物业类型,楼栋总数,房屋总数,物业公司,开发商,挂牌房源
35,宝山,145,50.8万,5002元,外环外,泰和路309弄(宝山淞宝)地图,sh4523189举报假一赔百细则,1室0厅1卫,暂无数据,32.68平,暂无数据,低区/5层,暂无数据,暂无数据,暂无数据,满五,置换,住宅 - 公寓,43223元/平,1966~1993年,住宅 - 公寓,17栋,366户,上海宝房（集团）海滨物业服务有限公司、海滨物业,宝辰集团控股有限公司,7套在售二手房0套在租房源
36,浦东,600,210万,20698元,内中环,鹏欣家园(浦东塘桥)地图,sh4460933举报假一赔百细则,2室2厅1卫,暂无数据,89.0平,暂无数据,高区/6层,精装,南北,2008-04-04,满五,置换,住宅 - 公寓,68563元/平,1998年,住宅 - 公寓,31栋,374户,上海鹏欣物业服务有限公司,上海鹏欣（集团）有限公司,2套在售二手房1套在租房源
37,浦东,600,210万,20698元,中外环,东源名都(浦东高行)地图,sh4397244举报假一赔百细则,2室2厅1卫,有(一梯二户),105.06平,暂无数据,中区/14层,暂无数据,暂无数据,2009-03-01,满五,折现,住宅 - 公寓,58535元/平,2007~2012年,住宅 - 公寓,61栋,2676户,上海海迩斯物业管理有限公司,上海源东房地产开发有限公司,28套在售二手房8套在租房源
38,浦东,450,157.5万,15524元,内中环,博爱家园(浦东世博)地图,sh4353177举报假一赔百细则,1室2厅1卫,暂无数据,64.24平,暂无数据,低区/6层,暂无数据,暂无数据,暂无数据,满五,折现,住宅 - 公寓,69266元/平,2001~2003年,住宅 - 公寓,66栋,912户,上南物业公司,上海南博房产有限公司,9套在售二手房5套在租房源
39,杨浦,210,73.5万,7244元,中外环,开鲁四村(杨浦中原)地图,sh4580625举报假一赔百细则,1室1厅1卫,暂无数据,41.5平,暂无数据,高区/6层,简装,南,2005-04-06,满五,折现,住宅 - 公寓,54155元/平,1980~1998年,住宅 - 公寓、住宅 - 写字楼、住宅 - 新里,85栋,1722户,上海凯晨物业管理有限公司、上海卫百辛(集团)有限公司、卫百辛物业,城建二司、市建,27套在售二手房6套在租房源
40,杨浦,285,99.8万,9832元,内中环,延吉七村(杨浦黄兴公园)地图,sh4857768举报假一赔百细则,1室1厅1卫,有(二梯十九户),51.98平,暂无数据,低区/14层,暂无数据,暂无数据,暂无数据,满五,暂无数据,住宅 - 公寓,63930元/平,1980~1987年,住宅 - 公寓,78栋,2575户,上海延吉物业管理有限公司、上海市卫百辛集团延吉物业管理有限公司、卫百辛物业,上海黄兴房地产责任有限公司、黄兴房地产开发有限公司,37套在售二手房4套在租房源
41,宝山,275,96.2万,9487元,中外环,民主敦发小区(宝山张庙)地图,sh4843089举报假一赔百细则,1室1厅1卫,暂无数据,61.58平,暂无数据,高区/6层,中装,南北,1998-11-30,满五,置换,住宅 - 公寓,49838元/平,1996~1997年,住宅 - 公寓,24栋,383户,金泰物业,上海宝宸(集团)有限公司,3套在售二手房1套在租房源
42,松江,320,112万,11039元,外环外,绿庭尚城(松江九亭)地图,sh4752981举报假一赔百细则,2室1厅1卫,有(二梯六户),66.2平,暂无数据,高区/22层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,45678元/平,2008~2013年,住宅 - 公寓,87栋,3877户,上海复瑞物业管理有限公司、上海复瑞物业管理有限公司、富瑞物业,上海绿庭房地产开发有限公司、上海绿庭集团有限公司,96套在售二手房21套在租房源
43,浦东,320,112万,11039元,外环外,康桥月苑(浦东康桥)地图,sh4545245举报假一赔百细则,2室1厅1卫,暂无数据,71.94平,暂无数据,低区/6层,毛坯,南北,2009-12-09,满五,置换,住宅 - 公寓,41919元/平,2009~2010年,住宅 - 公寓,118栋,1720户,上海豫园物业管理有限公司,上海雨润房地产开发有限公司,47套在售二手房6套在租房源
44,普陀,510,178.5万,17594元,中外环,阳光威尼斯（三期）(普陀真光)地图,sh4616763举报假一赔百细则,3室2厅1卫,有(二梯五户),112.04平,暂无数据,低区/26层,简装,东南,2006-12-07,满五,折现,住宅 - 公寓,50576元/平,2006年,住宅 - 公寓,25栋,2744户,上海阳光物业管理有限公司,上海意景房产开发有限公司,44套在售二手房6套在租房源
45,松江,225,78.8万,7762元,外环外,茉莉雅苑(松江泗泾)地图,sh4407009举报假一赔百细则,2室1厅1卫,有(二梯四户),71.93平,暂无数据,低区/13层,毛坯,南,2012-08-01,满五,折现,住宅 - 公寓,34022元/平,2012年,住宅 - 公寓,27栋,1367户,上海新凯物业管理公司,上海韵意房地产开发有限公司,31套在售二手房8套在租房源
46,浦东,340,119万,11729元,外环外,上川路1468弄(浦东曹路)地图,sh4376222举报假一赔百细则,3室2厅1卫,暂无数据,94.31平,暂无数据,低区/6层,精装,南北,2007-08-08,满五,折现,住宅 - 公寓,38046元/平,1995~1997年,住宅 - 公寓,12栋,204户,云琦物业,上海曹路房地产开发经营公司,3套在售二手房1套在租房源
47,徐汇,320,112万,11039元,内中环,罗城小区(徐汇上海南站)地图,sh4599490举报假一赔百细则,1室1厅1卫,暂无数据,49.66平,暂无数据,中区/6层,毛坯,南,暂无数据,未满二,置换,住宅 - 公寓,61658元/平,1997年,住宅 - 公寓,93栋,1156户,上海徐房物业管理有限公司、闵行物业,上海金牛房地产有限公司,13套在售二手房6套在租房源
48,徐汇,320,112万,11039元,内环内,东安四村(徐汇徐家汇)地图,sh4575506举报假一赔百细则,1室1厅1卫,暂无数据,39.25平,暂无数据,高区/6层,简装,南,2016-09-27,未满二,折现,住宅 - 公寓,79589元/平,1975~1996年,住宅 - 公寓,48栋,1067户,上海高建物业有限公司,上海市奉贤区住宅建设总公司,13套在售二手房5套在租房源
49,徐汇,670,234.5万,23113元,内环内,新湖云庭(徐汇斜土路)地图,sh4811125举报假一赔百细则,2室2厅1卫,有(二梯七户),83.31平,暂无数据,低区/23层,简装,东,暂无数据,满五,折现,住宅 - 公寓,79103元/平,2005年,住宅 - 公寓,4栋,663户,上海新湖物业管理有限责任公司、新湖物业,上海源江置业发展有限公司,12套在售二手房8套在租房源
50,宝山,330,115.5万,11384元,外环外,古北菊翔苑（菊联路232弄）(宝山顾村)地图,sh4620212举报假一赔百细则,2室2厅1卫,有(一梯三户),75.25平,暂无数据,中区/8层,精装,南,暂无数据,满五,置换,住宅 - 公寓,44660元/平,2008年,住宅 - 公寓,36栋,801户,上海捷森物业服务发展有限公司、上海捷森物业管理有限公司、捷森物业,上海古北(集团)有限公司、古北集团,8套在售二手房8套在租房源
52,黄浦,550,192.5万,18973元,内环内,肇周路417号(黄浦老西门)地图,sh2114098举报假一赔百细则,3室1厅1卫,暂无数据,66.39平,暂无数据,高区/6层,暂无数据,暂无数据,暂无数据,未满二,折现,住宅 - 公寓,82843元/平,1980~1981年,住宅 - 公寓、商业类,3栋,49户,上海上房物业管理有限公司、上房物业,暂无信息,1套在售二手房1套在租房源
53,虹口,620,217万,21388元,内环内,曲阳新村(虹口鲁迅公园)地图,sh4564181举报假一赔百细则,3室1厅1卫,暂无数据,84.79平,暂无数据,中区/6层,精装,南,暂无数据,满五,折现,住宅 - 公寓,73121元/平,1993~1994年,住宅 - 公寓,5栋,90户,暂无信息,虹房置业,1套在售二手房0套在租房源
54,黄浦,328,114.8万,11315元,内环内,蒙西小区(黄浦五里桥)地图,sh4560656举报假一赔百细则,1室0厅1卫,有(一梯五户),33.25平,暂无数据,中区/7层,精装,西,2012-11-11,满五,置换,住宅 - 公寓,90268元/平,1980~1996年,住宅 - 公寓、住宅 - 写字楼,60栋,1446户,上海永理置业管理有限公司,暂无信息,20套在售二手房15套在租房源
55,闸北,460,161万,15869元,内环内,绿厦小区(闸北西藏北路)地图,sh4541829举报假一赔百细则,2室1厅1卫,有(一梯七户),62.08平,暂无数据,中区/9层,精装,南,2000-03-01,满五,置换,住宅 - 公寓,71117元/平,1981~1986年,住宅 - 公寓、住宅 - 新里,6栋,382户,广华实业,广华开发有限公司、广华实业有限公司,7套在售二手房0套在租房源
56,浦东,865,302.8万,29840元,内中环,上海未来(浦东金杨)地图,sh4419937举报假一赔百细则,2室2厅1卫,有(一梯二户),101.62平,暂无数据,低区/7层,精装,南,2008-09-04,满五,折现,住宅 - 公寓,83740元/平,2003~2005年,住宅 - 公寓,80栋,1093户,上海城投物业管理有限公司、城投物业,上海置城房地产有限公司,11套在售二手房7套在租房源
57,虹口,490,171.5万,16904元,内环内,赤峰小区(虹口曲阳)地图,sh4406191举报假一赔百细则,2室1厅1卫,有(二梯七户),85.93平,暂无数据,低区/24层,精装,东南,暂无数据,满五,置换,住宅 - 公寓,70007元/平,1983~1994年,住宅 - 公寓,58栋,3551户,上海虹房物业集团、大柏树物业,上海虹房(集团)有限公司、虹房置业,52套在售二手房9套在租房源
58,浦东,880,308万,30358元,内中环,东方知音苑(浦东金杨)地图,sh4359539举报假一赔百细则,3室2厅2卫,有(一梯二户),113.61平,暂无数据,低区/7层,中装,南北,2009-07-08,满五,折现,住宅 - 公寓,82427元/平,2002~2003年,住宅 - 公寓,95栋,1464户,上海复瑞物业管理有限公司、上海复瑞物业管理有限公司、复瑞公司,复地集团,10套在售二手房12套在租房源
59,浦东,1120,392万,38637元,内环内,上海绿城(浦东杨东)地图,sh4330531举报假一赔百细则,3室2厅1卫,有(一梯二户),125.61平,暂无数据,低区/13层,精装,南北,2006-04-06,满五,变现,住宅 - 公寓,94391元/平,2004~2007年,住宅 - 公寓,79栋,2632户,上海绿宇物业管理有限公司,上海绿宇房地产开发有限公司,41套在售二手房52套在租房源
60,长宁,330,115.5万,11384元,内中环,科宁公寓(长宁中山公园)地图,sh4229837举报假一赔百细则,1室0厅1卫,有(二梯十二户),43.71平,暂无数据,中区/24层,简装,西南,2000-05-23,满五,置换,住宅 - 公寓,67512元/平,1991~1995年,住宅 - 公寓,3栋,644户,上海新长宁集团新程物业有限公司、上海物业,上海新长宁（集团）有限公司、长宁集团,6套在售二手房4套在租房源
61,徐汇,508,177.8万,17525元,内环内,江南新村（徐汇）(徐汇斜土路)地图,sh1850194举报假一赔百细则,3室0厅1卫,暂无数据,62.05平,暂无数据,中区/5层,精装,南,2005-11-29,满五,置换,住宅 - 公寓,69231元/平,1954~2015年,住宅 - 公寓、住宅 - 老公寓、住宅 - 新里,112栋,2444户,上海高建物业有限公司、江南物业管理有限公司,上海徐房集团有限公司、上海江南造船厂房地产开发经营公司,20套在售二手房9套在租房源
62,宝山,380,133万,13109元,外环外,文宝苑(宝山顾村)地图,sh4860806举报假一赔百细则,2室2厅1卫,有(一梯三户),76.19平,暂无数据,中区/11层,毛坯,南北,2008-10-22,满五,折现,住宅 - 公寓,2008年,住宅 - 公寓、商业类,73栋,1954户,上海捷森物业服务发展有限公司、捷森物业,上海捷茂房地产开发有限公司,28套在售二手房10套在租房源,
63,徐汇,305,106.8万,10522元,内中环,樱花园（徐汇）(徐汇康健)地图,sh4854707举报假一赔百细则,2室1厅1卫,暂无数据,50.41平,暂无数据,低区/6层,简装,南北,2000-05-10,满五,折现,住宅 - 公寓,65493元/平,1991~1993年,住宅 - 公寓,73栋,1379户,上海中房物业管理有限公司、锦龙物业、中房物业,上房地产,16套在售二手房9套在租房源
64,闵行,600,210万,20698元,中外环,新梅公寓(闵行古美)地图,sh4854463举报假一赔百细则,3室2厅2卫,有(一梯二户),119.92平,暂无数据,低区/7层,简装,南,2003-11-25,满五,置换,住宅 - 公寓,52167元/平,1999~2002年,住宅 - 公寓、住宅 - 洋房,81栋,1121户,上海兴盛物业有限公司、兴盛物业,上海兴盛房地产开发（集团）有限公司、上海兴盛置业有限公司,13套在售二手房2套在租房源
65,徐汇,1580,553万,54506元,内环内,鑫国家园(徐汇徐家汇)地图,sh4851050举报假一赔百细则,4室2厅2卫,有(二梯四户),164.43平,暂无数据,高区/24层,精装,南北,2000-11-01,满五,折现,住宅 - 公寓,94300元/平,2001年,住宅 - 公寓,8栋,260户,上海驰骋物业管理有限公司,中心集团,3套在售二手房4套在租房源
66,浦东,1720,602万,59335元,内环内,浦东世纪花园（公寓）(浦东花木)地图,sh4850848举报假一赔百细则,4室2厅2卫,有(二梯二户),189.6平,暂无数据,中区/30层,精装,南,暂无数据,满五,折现,住宅 - 公寓,94181元/平,2002~2005年,住宅 - 公寓,32栋,1198户,上海浦东物业管理公司、上海浦东世纪花园物业管理有限公司,上海联合发展有限公司、上海东上海联合置业有限公司,21套在售二手房19套在租房源
67,闸北,860,301万,29668元,内环内,中海万锦城（一期）(闸北不夜城)地图,sh4850598举报假一赔百细则,2室2厅1卫,有(二梯三户),90.07平,暂无数据,高区/28层,精装,南,2010-11-01,满五,折现,住宅 - 公寓,97773元/平,2010年,住宅 - 公寓,5栋,316户,中海物业管理(上海)有限公司、中海物业,暂无信息,4套在售二手房5套在租房源
68,黄浦,380,133万,13109元,内环内,西凌新邨(黄浦蓬莱公园)地图,sh4849526举报假一赔百细则,2室1厅1卫,有(一梯五户),54.5平,暂无数据,低区/7层,中装,北,暂无数据,满五,其它,住宅 - 公寓,住宅 - 公寓、住宅 - 新里,102栋,5130户,上海锦南物业经营有限公司,上实房地产,40套在售二手房20套在租房源,,
69,闵行,629,220.1万,21699元,中外环,嘉和花苑(闵行梅陇)地图,sh4848469举报假一赔百细则,2室2厅1卫,有(一梯三户),88.49平,暂无数据,高区/11层,暂无数据,南,2007-11-01,满五,折现,住宅 - 公寓,67952元/平,2000~2004年,住宅 - 公寓,67栋,1202户,上海中祺物业管理有限公司,上海美家房地产开发有限公司,5套在售二手房7套在租房源
70,普陀,700,245万,24148元,内环内,中远两湾城(普陀中远两湾城)地图,sh4848132举报假一赔百细则,2室2厅1卫,有(二梯四户),97.43平,暂无数据,高区/30层,精装,南,2004-03-29,满五,其它,住宅 - 公寓,71535元/平,2001~2006年,住宅 - 公寓,97栋,11603户,上海中远物业管理发展有限公司,上海万业企业股份有限公司,111套在售二手房57套在租房源
71,宝山,455,159.2万,15696元,中外环,上大阳光乾清园(宝山上大)地图,sh4848022举报假一赔百细则,3室2厅2卫,暂无数据,112.0平,暂无数据,高区/6层,精装,南北,暂无数据,满五,置换,住宅 - 公寓,住宅 - 公寓,61栋,732户,上海乾溪物业管理有限公司、上海乾溪置业总公司,上海建乾房地产开发有限公司,13套在售二手房2套在租房源,,
