,totalprice,xiaoqu,huxing,mianji,chaoxiang,zhuangxiu,dianti,guanzhu,daikan,fabu,mianji_num,mi,group_mianji,guanzhu_num,ren,group_guanzhu,label
62,730.0,嘉润花园  , 2室1厅 , 114.15平米 , 东南 , 简装 , 有电梯,8人关注 , 共10次带看 , 14天以前发布,114.15,米 ,100-150,8.0,关注 ,小于100,2
63,385.0,天通苑中苑  , 2室1厅 , 103.7平米 , 东南 , 毛坯,,14人关注 , 共9次带看 , 4天以前发布,103.7,米 ,100-150,14.0,关注 ,小于100,0
64,407.0,农光南路  , 2室1厅 , 70.22平米 , 南 北 , 精装,,179人关注 , 共33次带看 , 1个月以前发布,70.22,米 ,50-100,179.0,关注 ,100-200,0
65,1190.0,黄寺大街24号院  , 3室1厅 , 94.4平米 , 南 , 其他,,110人关注 , 共75次带看 , 4个月以前发布,94.4,米 ,50-100,110.0,关注 ,100-200,2
66,2300.0,东湖湾二期  , 4室2厅 , 216.24平米 , 南 北 , 精装,,29人关注 , 共1次带看 , 6天以前发布,216.24,米 ,200-250,29.0,关注 ,小于100,1
67,458.0,后现代城  , 1室1厅 , 62.79平米 , 南 , 精装,,194人关注 , 共139次带看 , 5个月以前发布,62.79,米 ,50-100,194.0,关注 ,100-200,0
68,300.0,原香小镇一区  , 2室1厅 , 88.05平米 , 南 北 , 简装,,78人关注 , 共46次带看 , 1个月以前发布,88.05,米 ,50-100,78.0,关注 ,小于100,0
69,420.0,东方太阳城  , 2室2厅 , 113.76平米 , 南 北 , 简装,,32人关注 , 共37次带看 , 22天以前发布,113.76,米 ,100-150,32.0,关注 ,小于100,0
70,375.0,长阳半岛2号院  , 2室1厅 , 89.98平米 , 南 , 精装,,146人关注 , 共33次带看 , 27天以前发布,89.98,米 ,50-100,146.0,关注 ,100-200,0
71,540.0,万科紫苑  , 2室1厅 , 66.7平米 , 南 北 , 其他,,72人关注 , 共47次带看 , 16天以前发布,66.7,米 ,50-100,72.0,关注 ,小于100,0
72,418.0,开阳里三区  , 2室1厅 , 62.43平米 , 南 北 , 精装,,145人关注 , 共61次带看 , 1个月以前发布,62.43,米 ,50-100,145.0,关注 ,100-200,0
