,Unnamed: 0,行政区,总价,地点,车位,最低首付,参考月供,环线信息,小区名称,房源编号,房屋户型,配备电梯,areas,供暖方式,所在楼层,装修情况,房屋朝向,上次交易,房本年限,售房原因,房屋类型,挂牌均价,建筑年代,物业类型,楼栋总数,房屋总数,物业公司,开发商,挂牌房源,area,平方米
81,81,宝山,585,罗芬路98弄,有,204.8万,20181元,外环外,美兰湖岭域(宝山罗店)地图,sh4841479举报假一赔百细则,4室2厅2卫,暂无数据,92.29平,暂无数据,高区/6层,豪装,南北,暂无数据,满五,折现,住宅 - 公寓,40156元/平,2009~2011年,住宅 - 公寓,98栋,936户,上海景瑞物业管理有限公司、景瑞物业,上海景尚置业有限公司,28套在售二手房10套在租房源,92.29,
82,82,长宁,970,芙蓉江路555弄,无,339.5万,33462元,内中环,新天地河滨花园(长宁天山)地图,sh4839232举报假一赔百细则,2室2厅1卫,有(二梯四户),90.0平,暂无数据,中区/26层,精装,南北,2011-09-01,满五,折现,住宅 - 公寓,103673元/平,2011年,住宅 - 公寓,15栋,1025户,上海古北物业管理有限公司、古北物业,上海新天地置业发展有限公司,12套在售二手房28套在租房源,90.0,
83,83,杨浦,230,"长阳路1969弄,长阳路2021弄",暂无数据,80.5万,7934元,内中环,引翔港小区(杨浦周家嘴路)地图,sh4838633举报假一赔百细则,1室1厅1卫,暂无数据,37.8平,暂无数据,低区/6层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,住宅 - 公寓、住宅 - 写字楼,32栋,1309户,长兴物业,隆洋物业开发,21套在售二手房10套在租房源,,,37.8,
84,84,浦东,300,"潍坊路238弄, 潍坊路252弄, 潍坊路260号, 潍坊路335弄1-3支弄, 潍坊路355弄, 潍坊路375弄, 源深路600弄1-3支弄, 潍坊路262号",无,105万,10349元,内环内,竹园新村(浦东)(浦东源深)地图,sh4838607举报假一赔百细则,1室0厅1卫,暂无数据,33.75平,暂无数据,低区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,79959元/平,1987~1999年,住宅 - 公寓,184栋,3684户,潍坊物业、竹园物业管理有限公司,上海建工房产有限公司,49套在售二手房18套在租房源,33.75,
85,85,浦东,900,苗圃路438弄,无,315万,31048元,内环内,新城名园(浦东洋泾)地图,sh4837652举报假一赔百细则,2室2厅1卫,有(一梯二户),103.44平,暂无数据,高区/16层,精装,南北,2005-03-10,满五,置换,住宅 - 公寓,87006元/平,2005年,住宅 - 公寓,7栋,142户,上海中星集团申城物业有限公司、中星物业,上海中星（集团）有限公司、中星集团,1套在售二手房2套在租房源,103.44,
86,86,杨浦,286,控江三村88-147号,暂无数据,100.1万,9866元,内中环,控江西三村(杨浦黄兴公园)地图,sh4837598举报假一赔百细则,2室1厅1卫,暂无数据,40.94平,暂无数据,高区/5层,毛坯,南,暂无数据,满五,暂无数据,住宅 - 公寓,61544元/平,1993~2004年,住宅 - 公寓,60栋,1284户,延吉物业,老上海黄兴房产公司,13套在售二手房1套在租房源,40.94,
87,87,闵行,240,七莘路3333弄2区-15区,无,84万,8279元,外环外,万科城市花园(闵行七宝)地图,sh4837263举报假一赔百细则,1室1厅1卫,暂无数据,41.52平,暂无数据,高区/6层,简装,南,2009-01-22,满五,折现,住宅 - 公寓,49600元/平,1994~1998年,住宅 - 公寓,306栋,4104户,上海万科物业管理有限公司、万科物业,上海万科房地产有限公司,67套在售二手房19套在租房源,41.52,
88,88,长宁,869,长宁路1661弄1-50号,无,304.1万,29978元,内中环,虹桥新城(长宁中山公园)地图,sh4836342举报假一赔百细则,2室2厅2卫,有(一梯二户),107.47平,暂无数据,中区/11层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,77928元/平,2000~2002年,住宅 - 公寓,38栋,1202户,上海世邦魏理仕物业顾问有限公司、世邦魏理仕物业,上海市绿地集团置业有限公司、绿城集团,7套在售二手房5套在租房源,107.47,
89,89,宝山,210,长江西路1568号,无,73.5万,7244元,中外环,通河二村(宝山通河)地图,sh4834828举报假一赔百细则,1室1厅1卫,暂无数据,40.36平,暂无数据,低区/6层,简装,南北,暂无数据,满五,置换,住宅 - 公寓,49490元/平,1988~1996年,住宅 - 公寓,137栋,4222户,通河新村物业、通河物业,上海华谊集团置业有限公司呼玛管理处,54套在售二手房8套在租房源,40.36,
90,90,青浦,265,"盈港路1750弄,盈港路1755弄,盈港路1880弄",暂无数据,92.8万,9142元,外环外,民乐佳苑(青浦盈浦)地图,sh4834664举报假一赔百细则,2室2厅1卫,暂无数据,73.91平,暂无数据,中区/5层,精装,暂无数据,暂无数据,满五,置换,住宅 - 公寓,32824元/平,2004~2006年,住宅 - 公寓、住宅 - 写字楼,364栋,4679户,上海纵骋物业管理有限公司、鑫苑物业,上海浦西房地产开发有限公司、上海俊鑫房地产开发有限公司、西上海集团,56套在售二手房21套在租房源,73.91,
91,91,松江,285,广富林路1188弄,无,99.8万,9832元,外环外,保利西子湾(松江松江大学城)地图,sh4833470举报假一赔百细则,1室1厅1卫,有(二梯四户),59.83平,暂无数据,中区/14层,精装,南,暂无数据,满五,其它,住宅 - 公寓,43980元/平,2008~2010年,住宅 - 厂房、住宅 - 公寓、商业类,70栋,3521户,上海保利物业管理、保利物业,上海城乾房地产开发有限公司,48套在售二手房43套在租房源,59.83,
92,92,闸北,295,"原平路689弄,原平路777弄,高平路774弄,高平路860弄",无,103.2万,10177元,中外环,永和二村(闸北永和)地图,sh4831438举报假一赔百细则,2室1厅1卫,暂无数据,49.42平,暂无数据,低区/6层,简装,南北,1996-05-17,满五,折现,住宅 - 公寓,57381元/平,1995~1996年,住宅 - 公寓,135栋,3252户,上海北城物业有限公司,大宁房地产开发有限公司,43套在售二手房22套在租房源,49.42,
93,93,虹口,460,"大连西路230弄,曲阳路501号,曲阳路511号,曲阳路521号,曲阳路531号,曲阳路541号,曲阳路551号",无,161万,15869元,内环内,曲一花苑(虹口曲阳)地图,sh4830742举报假一赔百细则,2室1厅1卫,有(二梯八户),56.79平,暂无数据,低区/12层,简装,西南,暂无数据,满五,折现,住宅 - 公寓,79247元/平,1979~1985年,住宅 - 公寓,20栋,912户,英达物业,泉州金荣房地产开发有限公司,8套在售二手房0套在租房源,56.79,
94,94,杨浦,335,工农三村,无,117.2万,11557元,中外环,工农三村(杨浦中原)地图,sh4830541举报假一赔百细则,2室1厅1卫,暂无数据,59.0平,暂无数据,中区/6层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,59660元/平,1990~1996年,住宅 - 公寓、商业类,173栋,3906户,上海殷行物业管理有限公司,上海农工商房地产（集团）有限公司、农工商房地产,60套在售二手房13套在租房源,59.0,
95,95,松江,560,谷阳北路2399弄,暂无数据,196万,19318元,外环外,御上海(松江松江大学城)地图,sh4829427举报假一赔百细则,3室2厅2卫,有(二梯二户),132.08平,暂无数据,低区/18层,精装,南北,2011-10-07,满五,暂无数据,住宅 - 公寓,45055元/平,2009年,住宅 - 公寓,40栋,1804户,上海新贵盛物业管理有限公司,上海昌润房产有限公司,27套在售二手房17套在租房源,132.08,
96,96,长宁,1260,武夷路718弄,暂无数据,441万,43467元,内环内,武夷花园(长宁中山公园)地图,sh4828543举报假一赔百细则,3室2厅2卫,有(一梯二户),136.0平,暂无数据,中区/12层,精装,暂无数据,2004-10-04,满五,暂无数据,住宅 - 公寓,住宅 - 公寓,13栋,489户,上海古华房地产开发经营有限公司,上海古华房地产开发经营有限公司,7套在售二手房6套在租房源,,,136.0,
97,97,普陀,1170,长寿路1028弄,无,409.5万,40362元,内环内,上海知音苑(普陀长寿路)地图,sh4828040举报假一赔百细则,3室2厅2卫,有(二梯二户),134.0平,暂无数据,低区/16层,暂无数据,暂无数据,暂无数据,满五,置换,住宅 - 公寓,85207元/平,2001~2003年,住宅 - 公寓,29栋,1073户,上海复瑞物业管理有限公司、复瑞公司,上海复星房地产开发有限公司,10套在售二手房3套在租房源,134.0,
98,98,宝山,470,"真华路1988弄, 真华路1958弄",无,164.5万,16214元,梧桐城邦（三期）(宝山大华)地图,sh4827114举报假一赔百细则,1室2厅1卫,有(一梯五户),68.21平,暂无数据,中区/7层,精装,南,2008-10-18,满五,折现,住宅 - 公寓,69119元/平,2010年,住宅 - 别墅、住宅 - 公寓,95栋,425户,暂无信息,暂无信息,9套在售二手房4套在租房源,,暂无数据,
99,99,徐汇,500,建国西路354弄,无,175万,17249元,内环内,建西小区(徐汇建国西路)地图,sh4826814举报假一赔百细则,1室0厅1卫,暂无数据,31.68平,暂无数据,高区/6层,精装,南,2011-07-12,满五,折现,住宅 - 公寓,157828元/平,1976~1988年,住宅 - 公寓、住宅 - 新里,16栋,317户,庆余物业,上海庆余房地产开发有限公司,1套在售二手房7套在租房源,31.68,
100,100,杨浦,950,翔殷路500弄,无,332.5万,32772元,中外环,莱茵半岛(杨浦中原)地图,sh4826397举报假一赔百细则,3室2厅2卫,有(一梯二户),139.43平,暂无数据,中区/17层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,65517元/平,2002~2003年,住宅 - 公寓,64栋,1102户,上海城成物业管理有限公司,上海柏茵置业有限公司,30套在售二手房3套在租房源,139.43,
101,101,杨浦,320,国定路600弄,无,112万,11039元,中外环,国定路600弄(杨浦五角场)地图,sh4826255举报假一赔百细则,2室1厅1卫,暂无数据,49.9平,暂无数据,低区/6层,精装,南,暂无数据,满五,折现,住宅 - 公寓,63975元/平,1980~1996年,住宅 - 公寓,42栋,879户,上海申鹭物业管理有限公司,无开发商,18套在售二手房4套在租房源,49.9,
102,102,普陀,1240,凯旋北路1555弄,无,434万,42777元,内环内,大华清水湾(普陀武宁)地图,sh4825491举报假一赔百细则,3室2厅2卫,有(一梯二户),150.41平,暂无数据,低区/18层,精装,南,2004-10-01,满五,折现,住宅 - 公寓,87041元/平,2002~2004年,住宅 - 公寓,48栋,1668户,上海瑞运物业管理有限公司,上海华运房地产开发有限公司,21套在售二手房4套在租房源,150.41,
103,103,宝山,198,淞南三村,无,69.3万,6830元,中外环,淞南三村(宝山淞南)地图,sh4825322举报假一赔百细则,1室1厅1卫,暂无数据,42.08平,暂无数据,中区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,44511元/平,1995~2003年,住宅 - 公寓,142栋,2443户,上海继发物业公司,上海继发集团,14套在售二手房7套在租房源,42.08,
104,104,长宁,510,茅台路455弄,暂无数据,178.5万,17594元,内中环,茅台新苑(长宁仙霞)地图,sh4824506举报假一赔百细则,2室0厅1卫,有(二梯十户),73.89平,暂无数据,低区/12层,暂无数据,暂无数据,暂无数据,满五,折现,住宅 - 公寓,63421元/平,1989~1993年,住宅 - 公寓、住宅 - 新里,10栋,1502户,上海中星集团申城物业有限公司、中星物业,上海中星（集团）有限公司、中星集团,15套在售二手房8套在租房源,73.89,
105,105,徐汇,320,田林七村,无,112万,11039元,内中环,田林七村(徐汇田林)地图,sh4823396举报假一赔百细则,2室0厅1卫,暂无数据,47.0平,暂无数据,低区/6层,简装,南北,暂无数据,满五,折现,住宅 - 公寓,68615元/平,1982~1983年,住宅 - 公寓,36栋,886户,上海申华物业有限公司、上海田林物业有限公司、田林新村物业管理公司,上海徐汇房产经营有限公司,14套在售二手房4套在租房源,47.0,
106,106,普陀,180,"银杏路120弄, 白丽路701弄",无,63万,6210元,外环外,桃浦十村(普陀桃浦)地图,sh4823296举报假一赔百细则,1室1厅1卫,暂无数据,41.96平,暂无数据,高区/6层,毛坯,南,暂无数据,满五,折现,住宅 - 公寓,45111元/平,1995~1999年,住宅 - 公寓,114栋,2819户,上海普陀物业有限公司、普陀物业、上服物业、万志物业,西部集团,51套在售二手房8套在租房源,41.96,
107,107,长宁,410,番禺路293弄,无,143.5万,14144元,内环内,又一村（长宁）(长宁新华路)地图,sh4823035举报假一赔百细则,2室1厅1卫,暂无数据,57.22平,暂无数据,中区/7层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,74188元/平,1990~1993年,住宅 - 公寓,16栋,399户,新华物业、新华物业,上海新长宁集团有限公司,6套在售二手房3套在租房源,57.22,
108,108,浦东,280,川沙路5245弄,暂无数据,98万,9659元,外环外,川沙路5245弄(浦东川沙)地图,sh4822902举报假一赔百细则,2室1厅1卫,暂无数据,72.0平,暂无数据,高区/6层,精装,南,1994-10-03,满五,暂无数据,住宅 - 公寓,39866元/平,1993~1995年,住宅 - 公寓,8栋,96户,暂无信息,暂无信息,5套在售二手房0套在租房源,72.0,
109,109,闵行,1200,姚虹路299弄,无,420万,41397元,内中环,恒盛苑(闵行金虹桥)地图,sh4822520举报假一赔百细则,3室2厅2卫,有(一梯二户),137.62平,暂无数据,高区/18层,中装,南北,2006-11-01,满五,折现,住宅 - 公寓,84009元/平,2004~2005年,住宅 - 公寓,22栋,615户,上海古北物业管理有限公司、古北物业,上海隆升建设发展有限公司,12套在售二手房9套在租房源,137.62,
110,110,浦东,275,"潍坊一村,浦电路149弄",无,96.2万,9487元,内环内,潍坊一村(浦东潍坊)地图,sh4822124举报假一赔百细则,1室1厅1卫,暂无数据,30.5平,暂无数据,中区/6层,简装,南,1984-10-05,满五,折现,住宅 - 公寓,73753元/平,1979~1995年,住宅 - 公寓,48栋,1040户,上海浦东新区潍坊物业公司、潍坊物业,上海浦发房地产开发有限公司,8套在售二手房6套在租房源,30.5,
111,111,宝山,310,锦秋路1456弄,暂无数据,108.5万,10694元,中外环,瑞丰园(宝山上大)地图,sh4821978举报假一赔百细则,1室2厅1卫,有(一梯三户),62.81平,暂无数据,低区/11层,精装,南,暂无数据,满五,暂无数据,住宅 - 公寓,住宅 - 公寓,30栋,534户,上海诚悦物业管理有限公司、上海祁豪物业管理公司,上海祁连房地产开发总公司、祁连地产,12套在售二手房2套在租房源,,,62.81,
112,112,徐汇,320,龙山新村,无,112万,11039元,内环内,龙山新村(徐汇万体馆)地图,sh4821260举报假一赔百细则,1室1厅1卫,暂无数据,44.46平,暂无数据,高区/6层,精装,南,暂无数据,满五,置换,住宅 - 公寓,69882元/平,1953~1999年,住宅 - 公寓、住宅 - 写字楼、住宅 - 新里,116栋,2471户,上海高建物业有限公司、上海北方物业管理有限公司,上海上房置业中心有限公司,40套在售二手房12套在租房源,44.46,
113,113,杨浦,220,"延吉西路81弄,凤城二村",暂无数据,77万,7589元,内环内,凤城二村(杨浦控江路)地图,sh4821213举报假一赔百细则,1室0厅1卫,暂无数据,33.8平,暂无数据,低区/5层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,65524元/平,1956~2006年,住宅 - 公寓、住宅 - 写字楼,139栋,3324户,上海四平物业管理有限公司、四平物业,上海申龙集团、上海申龙房地产有限公司,71套在售二手房11套在租房源,33.8,
114,114,浦东,550,梅园三村,暂无数据,192.5万,18973元,内环内,梅园三村(浦东源深)地图,sh4821046举报假一赔百细则,2室1厅1卫,暂无数据,61.68平,暂无数据,低区/6层,简装,南北,1970-01-01,满五,暂无数据,住宅 - 公寓,92342元/平,1977~1999年,住宅 - 公寓,49栋,920户,上海申舟物业有限公司,上海申舟物业有限公司,10套在售二手房13套在租房源,61.68,
115,115,宝山,210,长江西路1568号,无,73.5万,7244元,中外环,通河二村(宝山通河)地图,sh4820516举报假一赔百细则,1室1厅1卫,暂无数据,42.73平,暂无数据,低区/6层,精装,南,2012-10-23,满五,置换,住宅 - 公寓,49490元/平,1988~1996年,住宅 - 公寓,137栋,4222户,通河新村物业、通河物业,上海华谊集团置业有限公司呼玛管理处,54套在售二手房8套在租房源,42.73,
116,116,普陀,262,延川路243弄,无,91.7万,9038元,中外环,嘉云苑(普陀长征)地图,sh4818648举报假一赔百细则,1室1厅1卫,暂无数据,47.25平,暂无数据,低区/6层,简装,南,1999-01-07,满五,置换,住宅 - 公寓,56789元/平,1997年,住宅 - 公寓,56栋,672户,万隆物业,上海长征城乡建设开发有限公司,16套在售二手房0套在租房源,47.25,
117,117,普陀,1380,澳门路330弄,无,483万,47606元,内环内,浅水湾恺悦名城(普陀长寿路)地图,sh4818489举报假一赔百细则,3室2厅1卫,有(二梯三户),120.5平,暂无数据,中区/19层,暂无数据,暂无数据,暂无数据,满五,暂无数据,住宅 - 公寓,107155元/平,2010~2011年,住宅 - 公寓,15栋,482户,上海威斯特物业经营有限公司,上海恺悦投资发展有限公司,7套在售二手房5套在租房源,120.5,
118,118,杨浦,360,四平路2100弄,无,126万,12419元,内中环,四平路2100弄(杨浦五角场)地图,sh4817642举报假一赔百细则,2室0厅1卫,暂无数据,49.5平,暂无数据,低区/6层,中装,南北,暂无数据,满五,置换,住宅 - 公寓,71443元/平,1985~1995年,住宅 - 公寓,24栋,564户,上海五角场物业管理有限公司,五角场开发商,8套在售二手房2套在租房源,49.5,
119,119,静安,430,胶州路424弄,暂无数据,150.5万,14834元,内环内,胶州路424弄(静安曹家渡)地图,sh4817578举报假一赔百细则,2室0厅1卫,暂无数据,45.83平,暂无数据,低区/6层,简装,南,暂无数据,满五,其它,住宅 - 公寓,94238元/平,1983年,住宅 - 公寓,3栋,39户,上海宝翔物业有限公司,上海静安地产(集团)有限公司,2套在售二手房0套在租房源,45.83,
120,120,杨浦,315,"双辽支路60弄,双辽新村",无,110.2万,10867元,内环内,双辽新村(杨浦鞍山)地图,sh4817328举报假一赔百细则,1室1厅1卫,有(一梯八户),45.23平,暂无数据,中区/7层,精装,南,暂无数据,满五,折现,住宅 - 公寓,住宅 - 公寓、住宅 - 新里,95栋,2112户,上海卫百辛(集团)有限公司、卫百辛物业,上海卫百辛（集团）有限公司,18套在售二手房4套在租房源,,,45.23,
121,121,松江,225,"新家园路128弄, 新家园路30弄，新家园路88弄，古楼公路1858弄",无,78.8万,7762元,外环外,新凯家园(松江泗泾)地图,sh4815907举报假一赔百细则,1室1厅1卫,有(一梯四户),53.1平,暂无数据,高区/11层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,37011元/平,2006~2015年,住宅 - 公寓、住宅 - 写字楼,478栋,7422户,彩生活物业,上海新凯房地产开发有限公司,80套在售二手房19套在租房源,53.1,
122,122,闸北,300,共和新路555弄,暂无数据,105万,10349元,内环内,绿厦小区(闸北西藏北路)地图,sh4815819举报假一赔百细则,1室1厅1卫,有(一梯七户),44.05平,暂无数据,中区/9层,暂无数据,暂无数据,暂无数据,满五,暂无数据,住宅 - 公寓,71117元/平,1981~1986年,住宅 - 公寓、住宅 - 新里,6栋,382户,广华实业,广华开发有限公司、广华实业有限公司,7套在售二手房0套在租房源,44.05,
123,123,闵行,365,新镇路1060弄,无,127.7万,12591元,外环外,三佳花苑(闵行七宝)地图,sh4815532举报假一赔百细则,2室1厅1卫,暂无数据,52.79平,暂无数据,高区/6层,毛坯,南,2006-04-13,满五,置换,住宅 - 公寓,71107元/平,1993~1996年,住宅 - 公寓,79栋,1382户,上海三佳物业管理有限责任公司,上海三佳房地产经营公司,13套在售二手房6套在租房源,52.79,
124,124,普陀,810,长寿路433弄,无,283.5万,27943元,内环内,长寿苑(普陀长寿路)地图,sh4815394举报假一赔百细则,3室2厅2卫,有(二梯四户),158.27平,暂无数据,中区/20层,毛坯,南,暂无数据,满五,置换,住宅 - 公寓,52879元/平,2000~2008年,住宅 - 公寓,4栋,256户,上海中宁物业管理中心、中宁物业,上海锦海房地产发展有限公司,3套在售二手房3套在租房源,158.27,
125,125,浦东,255,"花山路1001弄,海高二村",暂无数据,89.2万,8797元,中外环,海高二村(浦东外高桥)地图,sh4815366举报假一赔百细则,2室1厅1卫,暂无数据,63.73平,暂无数据,中区/6层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,42557元/平,1994~2005年,住宅 - 公寓,38栋,502户,上海市浦东新区高桥物业发展公司、高桥物业,上海鹏静置业有限公司,8套在售二手房3套在租房源,63.73,
126,126,闵行,249,沪闵路2242弄,无,87.1万,8590元,外环外,金塔新村(闵行颛桥)地图,sh4815035举报假一赔百细则,2室1厅1卫,暂无数据,62.68平,暂无数据,中区/6层,精装,南北,2012-01-15,满五,置换,住宅 - 公寓,35231元/平,1993~2015年,住宅 - 公寓,122栋,1585户,上海金榜物业有限公司,颛元置业有限公司,22套在售二手房7套在租房源,62.68,
127,127,浦东,480,"牡丹路145弄, 牡丹路165弄, 牡丹路225弄",暂无数据,168万,16559元,内环内,牡丹小区（浦东）(浦东花木)地图,sh4814968举报假一赔百细则,1室1厅1卫,暂无数据,52.05平,暂无数据,中区/6层,简装,南北,暂无数据,满五,暂无数据,住宅 - 公寓,82265元/平,1993~1998年,住宅 - 公寓,95栋,1271户,方圆置业物业管理公司、上海方圆物业管理有限公司,上海花木开发有限公司、花木房产,34套在售二手房12套在租房源,52.05,
128,128,浦东,405,金工路172弄,无,141.8万,13971元,中外环,金鹏苑(浦东金桥)地图,sh4814914举报假一赔百细则,2室2厅1卫,暂无数据,61.74平,暂无数据,低区/6层,简装,南北,2001-05-11,满五,折现,住宅 - 公寓,63237元/平,1996~1998年,住宅 - 公寓,70栋,840户,上海凌浦物业有限公司、泰欣物业有限公司,金鹏集团股份有限公司、上海金鹏房地产开发有限公司,14套在售二手房2套在租房源,61.74,
129,129,闵行,210,银都路3118弄1-7区,无,73.5万,7244元,外环外,银都新村(1至7区)(闵行颛桥)地图,sh4814429举报假一赔百细则,1室1厅1卫,暂无数据,42.69平,暂无数据,低区/6层,毛坯,南,暂无数据,满五,折现,住宅 - 公寓,47248元/平,1994~2000年,住宅 - 公寓,336栋,4622户,上海益镇物业管理有限公司、上海益镇物业管理有限公司,颛桥房地产,52套在售二手房24套在租房源,42.69,
130,130,闵行,325,"报春路388弄,报春路488弄",无,113.7万,11212元,中外环,新梅花苑(闵行古美)地图,sh4814327举报假一赔百细则,2室1厅1卫,暂无数据,58.87平,暂无数据,高区/6层,精装,南北,2010-05-14,满五,其它,住宅 - 公寓,47982元/平,1995~1997年,住宅 - 公寓,87栋,2121户,上海兴盛物业有限公司、兴盛物业,上海兴盛实业发展（集团）有限公司,39套在售二手房12套在租房源,58.87,
131,131,浦东,440,环林东路271弄,无,154万,15179元,中外环,金禾新苑(浦东三林)地图,sh4814290举报假一赔百细则,2室1厅1卫,有(一梯三户),72.0平,暂无数据,中区/11层,精装,南,暂无数据,满五,置换,住宅 - 公寓,61997元/平,2006年,住宅 - 公寓,32栋,1468户,上海悦华物业管理有限公司,上海中房置业股份有限公司、中房集团,16套在售二手房4套在租房源,72.0,
132,132,静安,2000,新闸路1068弄,无,700万,68994元,内环内,远中风华园（公寓）(静安南京西路)地图,sh4813964举报假一赔百细则,3室2厅2卫,有(二梯四户),159.16平,暂无数据,低区/20层,精装,南北,2007-12-27,满五,折现,住宅 - 公寓,129502元/平,2006~2011年,住宅 - 公寓,12栋,616户,远雄物业（上海）有限公司,上海远中静安房地产有限公司、静安置业,16套在售二手房33套在租房源,159.16,
133,133,浦东,960,锦绣路2885弄1-37号,无,336万,33117元,内中环,锦三角花园（公寓）(浦东北蔡)地图,sh4813707举报假一赔百细则,3室2厅2卫,有(一梯二户),134.84平,暂无数据,高区/11层,精装,南北,2003-12-01,满五,置换,住宅 - 公寓,67201元/平,1998~2002年,住宅 - 公寓,23栋,383户,上海浦东物业管理公司、上海华辰物业管理有限公司,上海由由房地产开发有限公司、上海华辰房地产开发有限公司,5套在售二手房2套在租房源,134.84,
134,134,静安,345,"余姚路180弄,余姚路222弄,安远路515弄,新丰路607号,常德路1039弄,常德路1057弄",无,120.7万,11902元,内环内,新丰小区(静安江宁路)地图,sh4813675举报假一赔百细则,1室0厅1卫,有(一梯六户),42.23平,暂无数据,中区/7层,简装,南,暂无数据,满五,折现,住宅 - 公寓,86255元/平,1983~1999年,住宅 - 公寓、住宅 - 新里,32栋,776户,康定物业,静安置业,13套在售二手房10套在租房源,42.23,
135,135,黄浦,550,威海路149号,无,192.5万,18973元,内环内,振华大楼(黄浦人民广场)地图,sh4812367举报假一赔百细则,2室1厅1卫,有(二梯九户),64.64平,暂无数据,高区/20层,简装,南北,暂无数据,满五,折现,住宅 - 公寓,84025元/平,1988年,住宅 - 公寓,1栋,170户,上海紫华物业管理合作公司分公司,市政建设开发公司、市建,4套在售二手房3套在租房源,64.64,
136,136,虹口,735,广灵四路881弄,无,257.2万,25355元,内中环,万峰梦湖苑(虹口凉城)地图,sh4812193举报假一赔百细则,3室2厅1卫,暂无数据,106.07平,暂无数据,低区/6层,暂无数据,暂无数据,暂无数据,满五,置换,住宅 - 公寓,70024元/平,2003~2004年,住宅 - 公寓,52栋,760户,上海青山物业管理有限公司,上海万江置业有限公司,12套在售二手房4套在租房源,106.07,
137,137,杨浦,308,控江三村88-147号,无,107.8万,10625元,内中环,控江西三村(杨浦黄兴公园)地图,sh4812002举报假一赔百细则,2室0厅1卫,暂无数据,50.59平,暂无数据,高区/6层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,住宅 - 公寓,60栋,1284户,延吉物业,老上海黄兴房产公司,13套在售二手房1套在租房源,,,50.59,
138,138,杨浦,1280,国秀路599弄,无,448万,44156元,中外环,加州水郡(杨浦新江湾城)地图,sh4809942举报假一赔百细则,3室2厅2卫,有(一梯三户),161.91平,暂无数据,中区/20层,精装,南北,2011-01-21,满五,折现,住宅 - 公寓,83073元/平,2010年,住宅 - 公寓,12栋,487户,上海上实物业管理有限公司、上实物业,上海城投置业管理有限公司、上海城投悦城置业有限公司,13套在售二手房6套在租房源,161.91,
139,139,普陀,700,澳门路756弄,无,245万,24148元,内环内,澳门公寓(普陀长寿路)地图,sh4809730举报假一赔百细则,3室2厅1卫,有(二梯五户),109.24平,暂无数据,中区/20层,简装,东南,2000-09-01,满五,其它,住宅 - 公寓,64691元/平,1998年,住宅 - 公寓,2栋,217户,上海沃和物业管理有限公司,上海天健房地产开发有限公司,5套在售二手房0套在租房源,109.24,
140,140,杨浦,250,双辽支路70弄,无,87.5万,8624元,内环内,双辽支路70弄(杨浦鞍山)地图,sh4809590举报假一赔百细则,2室0厅1卫,有(一梯六户),39.49平,暂无数据,中区/7层,简装,北,暂无数据,满五,折现,住宅 - 公寓,66517元/平,1984~1991年,住宅 - 公寓,40栋,1021户,上海控江物业管理有限公司,上海新杨浦开发有限公司,24套在售二手房1套在租房源,39.49,
141,141,杨浦,310,国顺路80弄,无,108.5万,10694元,内中环,北茶园(杨浦五角场)地图,sh4809540举报假一赔百细则,1室1厅1卫,暂无数据,42.78平,暂无数据,高区/6层,精装,南,暂无数据,满五,置换,住宅 - 公寓,69927元/平,1997~1998年,住宅 - 公寓,73栋,1434户,上海凯晨物业管理有限公司,上海五角场房地产责任有限公司、上海五角房产有限公司,29套在售二手房8套在租房源,42.78,
142,142,普陀,750,长寿路295弄,暂无数据,262.5万,25873元,内环内,恒达公寓(普陀长寿路)地图,sh4809005举报假一赔百细则,2室2厅1卫,有(二梯六户),113.68平,暂无数据,高区/24层,精装,南,1998-09-28,满五,暂无数据,住宅 - 公寓,65974元/平,1997年,住宅 - 公寓、住宅 - 写字楼,2栋,248户,上海恒达物业管理有限公司、恒达物业,上海恒达科技发展股份有限公司,2套在售二手房1套在租房源,113.68,
143,143,浦东,478,"张杨路1050弄, 张杨路1318号, 张杨路1308号, 张杨路1338号, 张杨路1348号, 福山路309号, 张杨路1328号",暂无数据,167.3万,16490元,内环内,竹园高层(浦东源深)地图,sh4808777举报假一赔百细则,2室1厅1卫,有(二梯八户),62.96平,暂无数据,低区/26层,简装,南,暂无数据,满五,其它,住宅 - 公寓,70789元/平,1989~1996年,住宅 - 公寓,12栋,2138户,上海申厦物业有限公司、宏基物业、潍坊物业,上海申城房地产开发实业总公司、上海第八房地产开发公司、市建,39套在售二手房24套在租房源,62.96,
