,Unnamed: 0,行政区,总价,地点,车位,最低首付,参考月供,环线信息,小区名称,房源编号,房屋户型,配备电梯,areas,供暖方式,所在楼层,装修情况,房屋朝向,上次交易,房本年限,售房原因,房屋类型,挂牌均价,建筑年代,物业类型,楼栋总数,房屋总数,物业公司,开发商,挂牌房源,area,平方米
253,253,徐汇,290,"茶陵路75弄1-20号,茶陵路105弄1-9号",无,101.5万,10004元,内环内,茶陵小区(徐汇斜土路)地图,sh4776144举报假一赔百细则,1室1厅1卫,暂无数据,45.37平,暂无数据,低区/4层,中装,南,2005-06-08,满五,置换,住宅 - 公寓,75870元/平,1958~1989年,住宅 - 公寓,29栋,724户,上海瑞创物业管理有限公司、瑞创物业,上海海富置业有限公司,16套在售二手房4套在租房源,45.37,
254,254,静安,640,北京西路1565号,无,224万,22078元,内环内,京安大楼(静安静安寺)地图,sh4776023举报假一赔百细则,2室1厅1卫,有(二梯八户),71.4平,暂无数据,中区/28层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,95326元/平,1994年,住宅 - 公寓,1栋,214户,上海华园物业管理有限公司、华园物业,暂无信息,7套在售二手房0套在租房源,71.4,
255,255,闵行,628,罗锦路888弄,无,219.8万,21664元,中外环,上海阳城(闵行梅陇)地图,sh4775811举报假一赔百细则,2室2厅1卫,暂无数据,93.2平,暂无数据,高区/6层,精装,南北,2007-09-22,满五,置换,住宅 - 公寓,62203元/平,2002~2003年,住宅 - 公寓,176栋,2738户,上海莲阳物业管理有限公司,上海莲城房地产开发有限公司,31套在售二手房8套在租房源,93.2,
256,256,徐汇,378,"东泉路50弄,东泉路51弄,东泉路64弄,东泉路104弄,东泉路105弄,东泉路65弄",无,132.3万,13040元,内中环,东泉小区(徐汇植物园)地图,sh4775495举报假一赔百细则,2室1厅1卫,暂无数据,67.83平,暂无数据,高区/6层,简装,南,2010-08-02,满五,折现,住宅 - 公寓,63375元/平,1994~1995年,住宅 - 公寓、住宅 - 写字楼,143栋,1907户,上海益镇物业管理有限公司、上海申大物业有限公司、申大物业,上海瑞虹房地产有限公司,32套在售二手房15套在租房源,67.83,
257,257,黄浦,495,打浦路457弄,无,173.2万,17076元,内环内,南园小区(黄浦打浦桥)地图,sh4774671举报假一赔百细则,2室1厅1卫,有(三梯八户),64.52平,暂无数据,中区/29层,简装,东南,1994-12-31,满五,置换,住宅 - 公寓,77691元/平,1992~1994年,住宅 - 公寓,5栋,1179户,上海中成物业发展公司、中城物业,中成控股集团,25套在售二手房5套在租房源,64.52,
258,258,虹口,230,"大连西路250弄,大连西路270弄,玉田路407弄,玉田路401-427号,东体育会路413弄",无,80.5万,7934元,内环内,西南小区(虹口曲阳)地图,sh4773814举报假一赔百细则,1室1厅1卫,暂无数据,33.72平,暂无数据,高区/6层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,住宅 - 公寓,88栋,2066户,上海大柏树物业有限公司,无开发商,29套在售二手房6套在租房源,,,33.72,
259,259,浦东,620,上南路3339弄62-118号,无,217万,21388元,内中环,桃李家园(浦东三林)地图,sh4773453举报假一赔百细则,2室2厅1卫,暂无数据,91.0平,暂无数据,中区/5层,精装,南,2011-03-08,满五,其它,住宅 - 公寓,62906元/平,1998~2005年,住宅 - 公寓、商业类,57栋,626户,三纲物业管理有限公司,上海日月明房地产开发有限公司、日月明房产,11套在售二手房0套在租房源,91.0,
260,260,宝山,320,"长逸路327弄,淞南路200弄,淞南五村",无,112万,11039元,中外环,淞南五村(宝山淞南)地图,sh4771689举报假一赔百细则,2室1厅1卫,暂无数据,69.44平,暂无数据,高区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,47181元/平,1993~1999年,住宅 - 公寓,363栋,5528户,兴肇物业,松建集团,48套在售二手房5套在租房源,69.44,
261,261,浦东,418,上南一村,无,146.3万,14420元,内中环,上南一村(浦东世博)地图,sh4770839举报假一赔百细则,3室0厅1卫,暂无数据,67.27平,暂无数据,低区/6层,简装,南,2000-08-03,满五,折现,住宅 - 公寓,63789元/平,1982~1989年,住宅 - 公寓,96栋,2047户,上海振南物业有限公司、上南物业公司,上南开发集团、上南集团有限公司,11套在售二手房6套在租房源,67.27,
262,262,徐汇,1050,虹桥路168号,无,367.5万,36222元,内环内,东方曼哈顿(徐汇徐家汇)地图,sh4770344举报假一赔百细则,2室2厅1卫,有(二梯四户),85.11平,暂无数据,低区/37层,精装,东,2001-07-26,满五,折现,住宅 - 公寓,117359元/平,2001~2005年,住宅 - 公寓,12栋,1593户,东方海外(国际)有限公司、绿城物业、东方物业,上东方海外（上海）投资有限公司、东方海外置业,27套在售二手房52套在租房源,85.11,
263,263,浦东,500,灵山路600弄,无,175万,17249元,内环内,桃林一小区(浦东源深)地图,sh4769613举报假一赔百细则,1室1厅1卫,暂无数据,38.28平,暂无数据,中区/6层,简装,南,2005-11-17,满五,折现,住宅 - 公寓,90157元/平,1995~1996年,住宅 - 公寓,45栋,615户,上海陆洋物业管理有限公司、上服物业,上海陆洋物业管理有限公司,22套在售二手房13套在租房源,38.28,
264,264,宝山,240,"沪太路1500弄,沪太路1508弄,华灵路81弄,华灵路201弄,华灵路410弄,华灵路411弄,华灵路460弄,华灵路510弄,华灵路541弄,华灵路560弄,华灵路561弄,华灵路591弄,华灵路630弄,华灵路680弄,华灵路880弄,华灵路881弄",无,84万,8279元,内中环,大华一村(宝山大华)地图,sh4769578举报假一赔百细则,1室1厅1卫,暂无数据,46.44平,暂无数据,高区/6层,精装,南北,1990-08-16,满五,置换,住宅 - 公寓,55008元/平,1990~2001年,住宅 - 公寓,444栋,6339户,上海大华物业管理公司、自主物业,大华集团上海华宜置业有限公司,53套在售二手房18套在租房源,46.44,
265,265,普陀,185,"双山路55弄,双山路101弄,双山路131弄,双山路161弄,新村路570弄",无,64.8万,6382元,内中环,双山小区(普陀甘泉宜川)地图,sh4769488举报假一赔百细则,1室0厅1卫,暂无数据,34.85平,暂无数据,高区/6层,简装,西南,2000-06-17,满五,置换,住宅 - 公寓,57793元/平,1991~2001年,住宅 - 公寓,78栋,1799户,双山物业、沪太物业,西部集团,25套在售二手房5套在租房源,34.85,
266,266,普陀,750,清峪路368弄,有,262.5万,25873元,中外环,金沙雅苑（三期）(普陀长征)地图,sh4769311举报假一赔百细则,2室2厅1卫,有(二梯三户),96.63平,暂无数据,中区/18层,精装,南北,2005-08-27,满五,折现,住宅 - 公寓,72424元/平,2004年,住宅 - 公寓,31栋,1175户,上海协沁物业管理有限公司、上海协沁物业管理有限公司,上海弘象置业有限公司,16套在售二手房7套在租房源,96.63,
267,267,闵行,480,漕宝路1467弄四区,无,168万,16559元,中外环,静安新城（四区）(闵行静安新城)地图,sh4769231举报假一赔百细则,2室1厅1卫,有(二梯八户),86.05平,暂无数据,低区/24层,精装,南北,2010-04-21,满五,置换,住宅 - 公寓,住宅 - 公寓,63栋,1573户,上海静城物业管理有限公司、上海静安新城物业有限公司、静安物业,上海静安新城置业有限公司、静安置业,29套在售二手房13套在租房源,,,86.05,
268,268,宝山,340,祁连山路2777弄,无,119万,11729元,中外环,祁连四村(宝山上大)地图,sh4768952举报假一赔百细则,2室1厅1卫,暂无数据,75.32平,暂无数据,中区/6层,中装,南北,暂无数据,满五,折现,住宅 - 公寓,住宅 - 公寓、住宅 - 新里,55栋,672户,上海豪斯物业管理有限公司、豪斯物业,上海祁连房地产开发总公司,7套在售二手房4套在租房源,,,75.32,
269,269,虹口,590,"吴家湾路136弄1-12号, 吴家弯路138弄1-6号（吴家湾15弄）, 吴家湾路52弄（汶水东路141弄）1-263单号",无,206.5万,20353元,中外环,纪念小区(虹口江湾镇)地图,sh4768951举报假一赔百细则,3室1厅1卫,暂无数据,104.81平,暂无数据,中区/6层,精装,南,暂无数据,满五,置换,住宅 - 公寓,60805元/平,1984~1998年,住宅 - 公寓,89栋,1673户,上海广同物业有限公司、港联物业,上海金叠房地产开发有限公司,36套在售二手房10套在租房源,104.81,
